"countryCode","stateProvince","higherClassification","month","locality","higherGeography","sex","decimalLatitude","decimalLongitude","dateIdentified","coordinateUncertaintyInMeters","footprintWKT","country"
"CA","British Columbia",NA,4,NA,NA,NA,1615774.04633528,816115.739160282,"2022-08-25T20:42:52",1953,NA,"Canada"
"CA","British Columbia",NA,4,NA,NA,NA,497547.229866537,1482248.35323129,"2022-09-21T22:38:36",14,NA,"Canada"
"CA","British Columbia",NA,4,NA,NA,NA,1334128.28133794,750359.770602064,"2022-09-22T23:35:01",62,NA,"Canada"
"CA","British Columbia",NA,6,NA,NA,NA,1216576.69502318,810706.326022735,"2022-06-23T23:59:34",977,NA,"Canada"
"CA","British Columbia",NA,9,NA,NA,NA,969190.292164028,1140075.04608279,"2022-09-18T23:50:42",112,NA,"Canada"
"CA","British Columbia",NA,11,NA,NA,NA,1019729.09546113,929512.412705997,"2022-11-18T03:06:48",NA,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,1097253.78100223,1117514.22221681,"2021-01-14T14:09:27",4959,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,1078744.72575045,1073964.28659307,"2021-01-23T04:15:37",NA,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,1079298.71383508,1071073.99111601,"2021-01-23T04:17:05",NA,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,1096631.93440106,821645.803231708,"2022-09-07T18:50:30",247,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,1096631.93440106,821645.803231708,"2022-09-07T18:50:30",247,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,623681.579612046,1366535.96453158,"2022-12-04T01:04:26",300,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647204.352157639,1396354.84809824,"2021-02-23T04:02:06",27,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,463091.752826139,1376089.56919041,"2021-03-03T02:39:16",NA,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,646904.948339995,1396500.91317585,"2021-03-11T22:07:49",705,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,645832.462285666,1399041.29331074,"2021-03-06T01:38:44",5,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,1101678.68678631,1115835.5496368,"2021-03-09T05:09:43",3675,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,1069786.36970909,1108178.01918703,"2021-03-18T13:47:00",755,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,1075028.80174253,1102260.09268248,"2021-04-01T12:01:39",120,NA,"Canada"
"CA","British Columbia",NA,6,NA,NA,NA,1069906.85625435,1110220.42025494,"2021-06-15T11:53:14",2482,NA,"Canada"
"CA","British Columbia",NA,6,NA,NA,NA,1707340.69432348,397003.236180333,"2021-06-26T02:40:01",68,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,485197.659177243,1352133.75728099,NA,291,NA,"Canada"
"CA","British Columbia",NA,9,NA,NA,NA,465648.22871182,1382386.2617653,"2021-09-03T20:56:01",440,NA,"Canada"
"CA","British Columbia",NA,10,NA,NA,NA,627096.161088987,1392160.4318492,"2021-10-10T02:16:39",NA,NA,"Canada"
"CA","British Columbia",NA,12,NA,NA,NA,1096631.93440106,821645.803231708,"2021-12-20T21:17:01",247,NA,"Canada"
"CA","British Columbia",NA,12,NA,NA,NA,905179.112395817,1435568.34540309,"2022-08-01T02:12:54",70,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,797689.061466374,1240208.91228316,"2020-06-15T22:29:44",36104,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,981698.041721428,1193454.34681704,"2020-02-06T20:35:45",66,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,495567.642346981,1592425.03515927,"2020-03-26T17:08:29",9,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,788218.530163401,1241875.47364059,"2020-06-09T17:04:30",966,NA,"Canada"
"CA","British Columbia",NA,4,NA,NA,NA,479749.712687041,1494071.44363952,"2020-04-26T06:34:05",81,NA,"Canada"
"CA","British Columbia",NA,7,NA,NA,NA,1393905.03922593,1184252.85051776,"2020-07-22T21:33:43",NA,NA,"Canada"
"CA","British Columbia",NA,7,NA,NA,NA,468081.013424062,1380467.32401088,"2020-08-22T15:09:07",20259,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,774277.920574083,1334012.40512779,"2020-08-23T16:01:41",488,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1126340.2563364,1135493.82255161,"2020-08-30T21:34:39",12,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1574987.13834881,1157784.6812639,"2020-10-27T01:31:03",2624,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1520309.9909196,1073212.62463094,"2021-01-16T01:41:27",21194,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1015736.99566346,1013497.18621372,"2021-01-20T05:14:05",244,NA,"Canada"
"CA","British Columbia",NA,12,NA,NA,NA,664553.816520999,1706471.49230329,"2020-12-06T13:21:49",809,NA,"Canada"
"CA","British Columbia",NA,12,NA,NA,NA,500399.904657882,1579917.0219449,"2020-12-20T22:02:45",NA,NA,"Canada"
"CA","British Columbia",NA,6,NA,NA,NA,1654076.41580505,567585.805639433,"2019-06-25T04:53:03",643,NA,"Canada"
"CA","British Columbia",NA,7,NA,NA,NA,1137955.28891892,1187862.53376361,"2021-07-12T19:23:58",31,NA,"Canada"
"CA","British Columbia",NA,7,NA,NA,NA,1072155.33299017,925369.893415986,"2021-10-21T03:13:11",NA,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,520200.711510445,1853299.11978673,"2020-10-25T17:26:45",16,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1420664.67111748,761894.980840273,"2019-08-26T01:53:10",38,NA,"Canada"
"CA","British Columbia",NA,9,NA,NA,NA,774532.425766702,1306770.77112104,"2022-12-25T14:42:55",353,NA,"Canada"
"CA","British Columbia",NA,9,NA,NA,NA,1159148.64032794,1176101.85232952,"2020-04-26T13:01:52",15,NA,"Canada"
"CA","British Columbia",NA,9,NA,NA,NA,778805.444535487,1308085.1098015,"2021-01-14T12:09:18",26132,NA,"Canada"
"CA","British Columbia",NA,11,NA,NA,NA,1689674.49915163,508410.507228695,"2019-11-08T04:57:24",10,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,984651.366113209,1202347.84154104,"2018-03-01T02:21:18",4128,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,831489.879844535,1213224.17984467,"2020-04-04T19:37:54",NA,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,1045790.13074994,958522.376529447,"2018-01-09T00:30:50",31,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,1045790.13074994,958522.376529447,"2018-01-09T00:30:50",31,NA,"Canada"
"CA","British Columbia",NA,4,NA,NA,NA,1639001.17652618,533039.211308029,"2018-04-04T04:02:40",856,NA,"Canada"
"CA","British Columbia",NA,6,NA,NA,NA,1497287.59925171,752241.12495134,"2018-06-29T18:44:46",12504,NA,"Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx,",1,"Canada, B.C., Mgmt Unit Region 5","Canada, British Columbia","MALE",800731.46976482,1136451.08937302,"2018-01-01T00:00:00",NA,"POLYGON((-123.999992685204 52.2000000619907,-123.999992806074 52.1999991839387,-123.999993203402 52.1999983372475,-123.99999386192 52.1999975544549,-123.999994756321 52.1999968656432,-123.999995852233 52.1999962972831,-123.999997107541 52.1999958712164,-123.999998474006 52.1999956038164,-123.999999899113 52.1999955053593,-124.000001328097 52.1999955796287,-124.000002706043 52.1999958237705,-124.000003979998 52.1999962284024,-124.000005101004 52.1999967779747,-124.00000602598 52.1999974513676,-124.000006719382 52.199998222703,-124.000007154562 52.1999990623389,-124.000007314796 52.1999999380086,-124.000007193927 52.2000008160607,-124.000006796599 52.2000016627519,-124.000006138081 52.2000024455446,-124.00000524368 52.2000031343563,-124.000004147768 52.2000037027165,-124.000002892459 52.2000041287833,-124.000001525995 52.2000043961833,-124.000000100887 52.2000044946405,-123.999998671903 52.200004420371,-123.999997293956 52.2000041762292,-123.999996020001 52.2000037715973,-123.999994898996 52.2000032220249,-123.999993974019 52.2000025486319,-123.999993280617 52.2000017772964,-123.999992845438 52.2000009376604,-123.999992685204 52.2000000619907))","Canada"
"CA","British Columbia",NA,3,NA,NA,NA,469539.799641434,1377544.48305128,"2017-07-04T15:38:41",272,NA,"Canada"
"CA","British Columbia",NA,10,NA,NA,NA,1536514.1527808,1057299.39679111,"2019-10-16T04:20:26",4458,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,996672.524407485,1097072.36741646,"2022-05-28T16:28:20",61,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1615477.01787086,1159832.4201343,"2020-07-06T18:46:26",NA,NA,"Canada"
"CA","British Columbia",NA,7,NA,NA,NA,1646986.06659522,576457.738895091,"2019-03-31T11:28:18",488,NA,"Canada"
"CA","British Columbia",NA,12,NA,NA,NA,1695132.15644842,515481.064554597,"2020-04-27T04:44:24",488,NA,"Canada"
"CA","British Columbia",NA,8,NA,NA,NA,1660358.00080434,409981.686385784,"2020-03-22T09:00:13",7002,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,904892.746713404,1479962.09469559,"2022-03-11T05:41:47",500,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,705770.416913885,1699196.98251445,"2021-03-10T04:53:13",15,NA,"Canada"
"CA","British Columbia",NA,11,NA,NA,NA,661542.488329508,1597156.92178188,"2017-10-29T18:52:12",61,NA,"Canada"
"CA","British Columbia","Chordata,Mammalia,Carnivora,Felidae",NA,"Dawson Creek","North America, Canada, British Columbia",NA,1210661.11979322,1360453.03919458,NA,NA,NA,"Canada"
"CA","British Columbia","Chordata,Mammalia,Carnivora,Felidae",NA,"Dawson Creek","North America, Canada, British Columbia",NA,1210661.11979322,1360453.03919458,NA,NA,NA,"Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx,",5,"Manning Provincial Park","Canada, British Columbia","MALE",467663.089171757,1379758.95556872,"2017-07-11T00:00:00",18311,"POLYGON((-120.549370085035 49.0949487627505,-120.555762064023 49.062945646354,-120.571518174741 49.0323747079082,-120.596018638283 49.0044069040959,-120.628313146352 48.9801117120434,-120.667158676098 48.9604168382038,-120.711067524833 48.9460734650633,-120.758363689074 48.9376282368814,-120.80724554678 48.9354029350074,-120.855852693821 48.9394825240032,-120.902334721951 48.9497119681643,-120.944919695731 48.965701929165,-120.981980085546 48.9868431639323,-121.012093944604 49.012329151903,-121.034099187067 49.0411861975462,-121.047138944458 49.0723099835558,-121.050696163308 49.1045073000567,-121.04461587365 49.1365414548765,-121.029113917239 49.1671796903145,-121.004771380898 49.1952408048828,-120.972514528691 49.2196411162261,-120.933580648329 49.2394369145694,-120.889470890972 49.253861652293,-120.84189184601 49.2623562975651,-120.792688202763 49.2645915452447,-120.743769356666 49.2604809164736,-120.697033171428 49.250184172774,-120.654290276211 49.2341008987682,-120.61719224149 49.2128545440756,-120.587166742775 49.187267632953,-120.565362411736 49.158329225273,-120.552605529298 49.1271560244226,-120.549370085035 49.0949487627505))","Canada"
"CA","British Columbia","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx",12,"Williams Lake","North America | Canada | BC | Cariboo |  |  |  |","MALE",796992.351928735,1268405.44611409,NA,NA,NA,"Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx,",8,"Tweedsmuir Park; Fenton Lake 1 mi W of Cabin","Canada, British Columbia","FEMALE",888055.259740772,983256.464749011,"2018-08-27T00:00:00",2289,"POLYGON((-126.215932122736 52.9992066810078,-126.216844736974 52.9952124184355,-126.219031053303 52.9914022863134,-126.222406774976 52.9879226354324,-126.226842005801 52.9849070904619,-126.232166267614 52.9824714294992,-126.238175056862 52.9807091511463,-126.244637687562 52.9796878969866,-126.251306121683 52.9794468645796,-126.257924452889 52.9799953085091,-126.264238686499 52.9813121859717,-126.270006448077 52.9833469603384,-126.275006255471 52.9860215325807,-126.279046004416 52.9892332279545,-126.281970345517 52.9928587253806,-126.283666669995 52.9967587809996,-126.284069471782 53.0007835667487,-126.283162913113 53.0047784207067,-126.280981487697 53.008589789367,-126.277608747682 53.0120711336874,-126.27317413533 53.0150885711875,-126.267848034648 53.0175260356499,-126.261835229137 53.0192897539059,-126.255367016222 53.0203118651596,-126.248692283774 53.0205530413667,-126.242067896996 53.0200040060511,-126.235748772472 53.0186858920493,-126.229978029239 53.0166494242426,-126.224977603376 53.0139729594705,-126.220939693304 53.0107594605975,-126.218019368466 53.0071325232691,-126.216328626201 53.0032316105568,-126.215932122736 52.9992066810078))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx,",7,"McLeod Lake; Prince George, 62 mi N, on Highway 97; 9 mi S, 5 mi E","Canada, British Columbia","MALE",1099137.03300241,1197941.71321214,"2017-07-11T00:00:00",22624,"POLYGON((-122.55521859333 54.8524206791532,-122.562418504971 54.812781767637,-122.58284373721 54.7747127091699,-122.61567721636 54.7396700715625,-122.659636054876 54.7089911098057,-122.713023949448 54.6838438116557,-122.773797331225 54.6651836704737,-122.839642613225 54.6537185991414,-122.908061779342 54.6498830938048,-122.976463526654 54.6538224419781,-123.04225717273 54.6653874516926,-123.102946546234 54.6841398595181,-123.156221078799 54.7093682562381,-123.200041308937 54.7401140499729,-123.232716008608 54.7752066684726,-123.252968176147 54.8133068878395,-123.259987241121 54.8529568696825,-123.253465037506 54.8926352020316,-123.233613459915 54.9308149847642,-123.201162252276 54.9660227952331,-123.157336100685 54.9968962342965,-123.103811098334 55.0222377075763,-123.042651677808 55.0410621594991,-122.976230193025 55.0526366604327,-122.907132385823 55.0565100526465,-122.838052885808 55.0525312799074,-122.771685566805 55.0408555370261,-122.710613940614 55.0219379474834,-122.657206766026 54.9965150698346,-122.613523688341 54.9655751047028,-122.581235045699 54.9303181843637,-122.561559062118 54.8921085442511,-122.55521859333 54.8524206791532))","Canada"
"CA","British Columbia","Mammalia | Carnivora | Felidae | Lynx",3,"Kinbasket Lake, 80 mi N Golden","| Canada | British Columbia |  |  |  |  |","FEMALE",818822.448381745,1514926.0195137,NA,21485,NA,"Canada"
"CA","British Columbia","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx",2,"Nelson","North America | Canada | BC | Kootenay |  |  |  |","MALE",536141.82940438,1629469.14933432,NA,NA,NA,"Canada"
"CA","British Columbia","Mammalia | Carnivora | Felidae | Lynx",3,"Golden, nr Big Bend of Columbia River","| Canada | British Columbia |  |  |  |  |","MALE",738554.754110272,1627419.86802143,NA,3475,NA,"Canada"
"CA","British Columbia","Mammalia | Carnivora | Felidae | Lynx",3,"Golden, nr Big Bend of Columbia River","| Canada | British Columbia |  |  |  |  |","FEMALE",738554.754110272,1627419.86802143,NA,3475,NA,"Canada"
"CA","British Columbia","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx",3,"Nelson","North America | Canada | BC | Kootenay |  |  |  |","FEMALE",536141.82940438,1629469.14933432,NA,NA,NA,"Canada"
"CA","British Columbia","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx",11,"Lac la Hache","North America | Canada | BC | Cariboo |  |  |  |","FEMALE",765463.88333871,1308610.99560927,NA,NA,NA,"Canada"
"CA","British Columbia","Mammalia | Carnivora | Felidae | Lynx",2,"Golden","| Canada | British Columbia |  |  |  |  |",NA,738554.754110272,1627419.86802143,NA,3475,NA,"Canada"
"CA","British Columbia","Animalia; Chordata; Vertebrata; Amniota; Mammalia; Theriiformes-----Theria-Placentalia-Epitheria; Preptotheria-Ferae; Carnivora; Feliformia; Felidae; Felinae",2,NA,"North America; Canada; British Columbia; Horsefly","MALE",778548.876435643,1331696.85698733,NA,NA,NA,"Canada"
"CA","British Columbia","Animalia; Chordata; Vertebrata; Amniota; Mammalia; Theriiformes-----Theria-Placentalia-Epitheria; Preptotheria-Ferae; Carnivora; Feliformia; Felidae; Felinae",12,NA,"North America; Canada; British Columbia; Horsefly","FEMALE",778548.876435643,1331696.85698733,NA,NA,NA,"Canada"
"CA","British Columbia","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx",3,"Quesnel","North America | Canada | BC | Cariboo |  |  |  |","MALE",891801.230845133,1234756.07752732,NA,NA,NA,"Canada"
"CA","British Columbia","Carnivora Felidae Lynx",12,"BTWN FORT NELSON & JACKFISH CR.","CANADA, British Columbia","FEMALE",1546008.73562036,1142057.89544755,NA,7,NA,"Canada"
"CA","British Columbia","Carnivora Felidae Lynx",12,"60MI S FORT NELSON,ELLEH CR.","CANADA, British Columbia","FEMALE",1506667.63764685,1249420.65699043,NA,15,NA,"Canada"
"CA","British Columbia","Carnivora Felidae Lynx",12,"BTWN FORT NELSON & JACKFISH CR.","CANADA, British Columbia",NA,1546008.73562036,1142057.89544755,NA,7,NA,"Canada"
"CA","British Columbia","Carnivora Felidae Lynx",12,"E FORT NELSON","CANADA, British Columbia",NA,1540491.11433808,1198884.29432412,NA,5,NA,"Canada"
"CA","British Columbia","Mammalia | Carnivora | Felidae | Lynx",1,"Gold Range, Harris Creek Plateau","| Canada | British Columbia |  |  |  |  |",NA,191968.476149504,1504632.31969834,NA,4682,NA,"Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",1,"E side Beaverfoot Range, between Fraser Creek and 6 mi SE Fraser","Canada, British Columbia",NA,516180.1081245,1640458.52146128,"1999-01-27T00:00:00",34401,"POLYGON((-116.704599621038 49.302359231236,-116.714041056902 49.2420134287119,-116.741238871189 49.1840273892887,-116.785094066663 49.1306174945306,-116.843885864194 49.0838185791415,-116.915342961207 49.0454084317673,-116.996732405542 49.0168425821135,-117.084962504001 48.9992014211511,-117.176696172564 48.993151245902,-117.26847119371 48.998920362791,-117.356823919414 49.0162909288065,-117.43841300621 49.0446067584201,-117.510139770546 49.082796874592,-117.569261708155 49.1294141316343,-117.613495650128 49.1826877842899,-117.641106970038 49.2405884215479,-117.650981266517 49.3009032300655,-117.642675091194 49.3613191113595,-117.616442642472 49.4195107676978,-117.573235961687 49.473230520814,-117.514677085898 49.5203963695538,-117.443001828805 49.5591746658271,-117.36097632654 49.5880538299244,-117.27178909409 49.6059057649809,-117.178922942043 49.6120320788527,-117.08601252692 49.606192870868,-116.996694379112 49.5886166574446,-116.914456831108 49.5599909386754,-116.842497277201 49.5214338760912,-116.783593633106 49.4744484824757,-116.739995805602 49.4208615458693,-116.713341566203 49.3627501653148,-116.704599621038 49.302359231236))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",1,"E side Beaverfoot Range, between Fraser Creek and 6 mi SE Fraser","Canada, British Columbia",NA,516180.1081245,1640458.52146128,"1999-01-27T00:00:00",34401,"POLYGON((-116.704599621038 49.302359231236,-116.714041056902 49.2420134287119,-116.741238871189 49.1840273892887,-116.785094066663 49.1306174945306,-116.843885864194 49.0838185791415,-116.915342961207 49.0454084317673,-116.996732405542 49.0168425821135,-117.084962504001 48.9992014211511,-117.176696172564 48.993151245902,-117.26847119371 48.998920362791,-117.356823919414 49.0162909288065,-117.43841300621 49.0446067584201,-117.510139770546 49.082796874592,-117.569261708155 49.1294141316343,-117.613495650128 49.1826877842899,-117.641106970038 49.2405884215479,-117.650981266517 49.3009032300655,-117.642675091194 49.3613191113595,-117.616442642472 49.4195107676978,-117.573235961687 49.473230520814,-117.514677085898 49.5203963695538,-117.443001828805 49.5591746658271,-117.36097632654 49.5880538299244,-117.27178909409 49.6059057649809,-117.178922942043 49.6120320788527,-117.08601252692 49.606192870868,-116.996694379112 49.5886166574446,-116.914456831108 49.5599909386754,-116.842497277201 49.5214338760912,-116.783593633106 49.4744484824757,-116.739995805602 49.4208615458693,-116.713341566203 49.3627501653148,-116.704599621038 49.302359231236))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",6,"1 mi up Trout Creek, Summerland, Okanagan Lake","Canada, British Columbia",NA,529746.080570628,1457376.06144543,"1999-01-27T00:00:00",5591,"POLYGON((-119.589406630293 49.6017560315093,-119.59037234674 49.5919218646925,-119.594269960554 49.5823990432435,-119.600948135706 49.5735532658682,-119.610149120895 49.565724038351,-119.621518823037 49.5592116924555,-119.634620490541 49.5542659265793,-119.648951469393 49.5510762960672,-119.663962392607 49.5497650056281,-119.679078084993 49.5503822692525,-119.693719411192 49.552904407496,-119.707325265935 49.5572347511904,-119.719373901476 49.5632073177887,-119.72940280819 49.5705931248526,-119.737026410081 49.5791089078571,-119.74195090728 49.5884279196387,-119.743985691652 49.5981924095308,-119.743050878169 49.6080273144281,-119.739180631558 49.617554644397,-119.73252212145 49.6264080143544,-119.723330105316 49.6342467626192,-119.711957310766 49.6407691079832,-119.698840960159 49.6457238297192,-119.684485942866 49.6489200090295,-119.669445285512 49.6502344442052,-119.654298690061 49.6496164424952,-119.639629996604 49.6470897957121,-119.62600447684 49.6427518594124,-119.61394687233 49.6367697720536,-119.603921058125 49.6293739655262,-119.596312139393 49.6208492266818,-119.591411680612 49.6115236661251,-119.589406630293 49.6017560315093))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",1,"Anahim Lake","Canada, British Columbia",NA,828731.611132521,1046259.86448514,"1999-01-27T00:00:00",2335,"POLYGON((-125.282356023231 52.4673679330346,-125.282804140955 52.4632630665651,-125.28455457309 52.4592904533491,-125.287539734296 52.4556027070289,-125.291644680973 52.452341460711,-125.29671156271 52.4496319370181,-125.302545703448 52.4475781518658,-125.308923076423 52.4462589338433,-125.315598886586 52.4457249096465,-125.322316934792 52.4459965691714,-125.328819410437 52.4470634830125,-125.334856744231 52.4488847016943,-125.340197150802 52.4513903215288,-125.344635501689 52.4544841581058,-125.348001192997 52.4580474266248,-125.350164707696 52.4619432900592,-125.351042619482 52.4660221029006,-125.350600841895 52.4701271512268,-125.348855991304 52.4741006701443,-125.345874803311 52.4777899081258,-125.341771616631 52.4810530049734,-125.33670401373 52.4837644563379,-125.330866780455 52.4858199528333,-125.324484414383 52.4871404053336,-125.317802470716 52.4876749992047,-125.311078082369 52.4874031578229,-125.304570025179 52.4863353382797,-125.298528718171 52.4845126279356,-125.293186551608 52.482005157571,-125.288748921889 52.4789093933226,-125.285386323119 52.4753444134612,-125.283227801516 52.4714473155499,-125.282356023231 52.4673679330346))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",1,"Anahim Lake","Canada, British Columbia",NA,828731.611132521,1046259.86448514,"1999-01-27T00:00:00",2335,"POLYGON((-125.282356023231 52.4673679330346,-125.282804140955 52.4632630665651,-125.28455457309 52.4592904533491,-125.287539734296 52.4556027070289,-125.291644680973 52.452341460711,-125.29671156271 52.4496319370181,-125.302545703448 52.4475781518658,-125.308923076423 52.4462589338433,-125.315598886586 52.4457249096465,-125.322316934792 52.4459965691714,-125.328819410437 52.4470634830125,-125.334856744231 52.4488847016943,-125.340197150802 52.4513903215288,-125.344635501689 52.4544841581058,-125.348001192997 52.4580474266248,-125.350164707696 52.4619432900592,-125.351042619482 52.4660221029006,-125.350600841895 52.4701271512268,-125.348855991304 52.4741006701443,-125.345874803311 52.4777899081258,-125.341771616631 52.4810530049734,-125.33670401373 52.4837644563379,-125.330866780455 52.4858199528333,-125.324484414383 52.4871404053336,-125.317802470716 52.4876749992047,-125.311078082369 52.4874031578229,-125.304570025179 52.4863353382797,-125.298528718171 52.4845126279356,-125.293186551608 52.482005157571,-125.288748921889 52.4789093933226,-125.285386323119 52.4753444134612,-125.283227801516 52.4714473155499,-125.282356023231 52.4673679330346))","Canada"
"CA","British Columbia","Animalia, Chordata, Mammalia, Carnivora, Felidae, Lynx, Lynx canadensis,",1,"Anahim Lake","Canada, British Columbia",NA,828731.611132521,1046259.86448514,"1999-01-27T00:00:00",2335,"POLYGON((-125.282356023231 52.4673679330346,-125.282804140955 52.4632630665651,-125.28455457309 52.4592904533491,-125.287539734296 52.4556027070289,-125.291644680973 52.452341460711,-125.29671156271 52.4496319370181,-125.302545703448 52.4475781518658,-125.308923076423 52.4462589338433,-125.315598886586 52.4457249096465,-125.322316934792 52.4459965691714,-125.328819410437 52.4470634830125,-125.334856744231 52.4488847016943,-125.340197150802 52.4513903215288,-125.344635501689 52.4544841581058,-125.348001192997 52.4580474266248,-125.350164707696 52.4619432900592,-125.351042619482 52.4660221029006,-125.350600841895 52.4701271512268,-125.348855991304 52.4741006701443,-125.345874803311 52.4777899081258,-125.341771616631 52.4810530049734,-125.33670401373 52.4837644563379,-125.330866780455 52.4858199528333,-125.324484414383 52.4871404053336,-125.317802470716 52.4876749992047,-125.311078082369 52.4874031578229,-125.304570025179 52.4863353382797,-125.298528718171 52.4845126279356,-125.293186551608 52.482005157571,-125.288748921889 52.4789093933226,-125.285386323119 52.4753444134612,-125.283227801516 52.4714473155499,-125.282356023231 52.4673679330346))","Canada"
